num_centres,num_gasolineres,temps_hc_ms,temps_hc_std,temps_sa_ms,temps_sa_std,benefici_hc,benefici_hc_std,benefici_sa,benefici_sa_std
10,100,1.527400027650098,0.5995365400409365,68.85733335123707,6.5904497136905045,78905.33333333333,5364.211612364134,78905.33333333333,5364.211612364134
20,200,3.503966649683813,0.361856005126254,131.3589666193972,11.330310114627558,146541.33333333334,11717.812916903715,146530.66666666666,11726.806821220438
30,300,5.10516669601202,0.9509477805169914,204.63629998266697,2.301924379492307,227730.66666666666,2310.0045214000966,227730.66666666666,2310.0045214000966
40,400,5.113766683886449,1.5072292120703048,283.146566633756,8.035094661202361,305804.0,8281.66553297101,305804.0,8281.66553297101
50,500,6.675199993575613,0.7698768703792817,333.46953336149454,13.411480089272182,379674.6666666667,4586.5197650893815,379674.6666666667,4586.5197650893815
60,600,10.545333304132024,2.888297134830535,405.32836663381505,9.759252890294821,458681.3333333333,11162.706641113327,458681.3333333333,11162.706641113327
70,700,16.25629999519636,9.561301070091464,466.6734666874011,32.6246078874105,535348.0,17466.364475757397,535348.0,17466.364475757397
80,800,14.156466660400232,1.3001706255313563,555.4679000051692,37.514828219059865,622076.0,13773.389222216392,622076.0,13773.389222216392
90,900,15.73803334031254,4.135382458670833,602.9682666606581,36.63961281218937,701654.6666666666,19625.700791450876,701654.6666666666,19625.700791450876
100,1000,22.67483330797404,5.563214751504569,657.8784999825681,38.91801385031796,766644.0,19266.81236392431,766644.0,19266.81236392431
